community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
0,40,81.175,0.013976248976248978,0.0086765272277381,0.2934279648516115,0.0775410317796759,3247.0,positron-emission-tomography; pet; in-vivo; fdg-pet; proliferation,35.7
1,25,96.76,0.02246027846027846,0.009286809190611632,0.30948230464874,0.06675991556822353,2419.0,expression; cells; carcinoma; apoptosis; growth,22.3
2,15,124.53333333333333,0.03434343434343434,0.01051175448024547,0.3032151458310234,0.06190877415190968,1868.0,cancer; pooled analysis; exposure; childhood leukemia; risk,13.4
3,11,49.63636363636363,0.021725858089494454,0.008093583992370442,0.208549800444474,0.0019088467896008906,546.0,electrical detection; dna; arrays; nanosensors; biosensors,9.8
4,4,64.75,0.011670761670761672,0.008292647207986273,0.20762627796335661,0.0011705933210555157,259.0,5-fluorouracil; thymidylate synthase; thymidine phosphorylase; dihydropyrimidine dehydrogenase,3.6
5,4,44.0,8.19000819000819e-05,0.008928571428571432,0.020945945945945947,3.267005867432297e-23,176.0,transformer; transformers; integrated circuit modeling; design,3.6
6,4,28.75,0.011793611793611793,0.006205230650513651,0.22617326063928006,0.006195636556992214,115.0,growth-factor-beta; tgf-beta; tgf-beta superfamily; mic-1,3.6
7,3,26.666666666666668,5.46000546000546e-05,0.008928571428571433,0.014014014014014012,2.2248437500735375e-29,80.0,transitional-cell carcinoma; bladder cancer; urothelial carcinoma,2.7
8,2,20.0,0.0,0.008928571428571428,0.009009009009009009,1.105933871122095e-33,40.0,febrile response; tumor-necrosis-factor,1.8
9,2,15.0,0.0,0.008928571428571428,0.009009009009009009,4.157661318908156e-37,30.0,hereditary breast; ovarian-cancer,1.8
10,2,14.0,0.0,0.008928571428571428,0.009009009009009009,6.397585881812707e-38,28.0,dna methylation; hypermethylation,1.8
