community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
0,31,167.2258064516129,0.0020281037230189774,0.008403361344537816,0.1363859431487551,0.12448964170846324,5184.0,Zheng GF_2005_NAT BIOTECHNOL; Cui Y_2001_SCIENCE; Hahm J_2004_NANO LETT; Patolsky F_2004_P NATL ACAD SCI USA; Stern E_2007_NATURE,26.1
1,21,156.76190476190476,0.001496933700323531,0.008403361344537813,0.08662146557096898,5.770345130388681e-06,3292.0,Weber WA_2000_EUR J NUCL MED; Wester HJ_1999_J NUCL MED; Jager PL_2001_J NUCL MED; Heiss P_1999_J NUCL MED; Rau FC_2002_EUR J NUCL MED MOL I,17.6
4,9,177.11111111111111,0.0002736330419946239,0.008403361344537813,0.04989360921564311,2.2055345060856633e-07,1594.0,Greenland S_2000_EPIDEMIOLOGY; Ahlbom A_2000_BRIT J CANCER; Linet MS_1997_NEW ENGL J MED; McBride ML_1999_AM J EPIDEMIOL; SAVITZ DA_1988_AM J EPIDEMIOL,7.6
5,7,137.42857142857142,0.00012416961569503942,0.008403361344537816,0.04116222760290557,6.273907884600421e-11,962.0,Lynch TJ_2004_NEW ENGL J MED; Paez JG_2004_SCIENCE; Tang XN_2005_CANCER RES; Shigematsu H_2005_JNCI-J NATL CANCER I; Pao W_2004_P NATL ACAD SCI USA,5.9
2,10,94.2,0.0004490801100970592,0.008403361344537816,0.046775388121350236,1.483484278482731e-11,942.0,Yu YP_2004_J CLIN ONCOL; Lapointe J_2004_P NATL ACAD SCI USA; Welsh JB_2001_CANCER RES; Dhanasekaran SM_2001_NATURE; Singh D_2002_CANCER CELL,8.4
3,10,78.2,0.00047805302042590173,0.008403361344537816,0.04559046076057542,9.257709097927303e-13,782.0,Shields AF_1998_NAT MED; Machulla HJ_2000_J RADIOANAL NUCL CH; Rasey JS_2002_J NUCL MED; Vesselle H_2002_CLIN CANCER RES; Buck AK_2003_J NUCL MED,8.4
6,6,113.0,7.243227582210633e-05,0.008403361344537818,0.03598331988162497,2.525216757101326e-13,678.0,Albertoni M_2002_ONCOGENE; Bootcov MR_1997_P NATL ACAD SCI USA; Li PX_2000_J BIOL CHEM; Paralkar VM_1998_J BIOL CHEM; Baek SJ_2001_MOL PHARMACOL,5.0
8,3,104.0,0.0,0.008403361344537813,0.01694915254237288,1.6600802892504238e-14,312.0,Lord RVN_2000_J GASTROINTEST SURG; Gibson UEM_1996_GENOME RES; Heid CA_1996_GENOME RES,2.5
7,5,40.4,0.0002897291032884253,0.008403361344537816,0.017691686844229216,2.7193528649731295e-22,202.0,Ramani R_1997_INT J RADIAT ONCOL; Butson MJ_1996_MED PHYS; SOUBRA M_1994_MED PHYS; Quach KY_2000_MED PHYS; Chuang CF_2002_MED PHYS,4.2
10,3,50.666666666666664,0.0,0.008403361344537815,0.01694915254237288,5.631209991069499e-21,152.0,Fujibayashi Y_1997_J NUCL MED; Takahashi N_2000_ANN NUCL MED; Lewis JS_1999_J NUCL MED,2.5
9,3,36.666666666666664,4.828818388140422e-05,0.008403361344537813,0.013182674199623351,2.3738282939505632e-23,110.0,Cartmell T_2000_J PHYSIOL-LONDON; Chai Z_1996_J EXP MED; KLUGER MJ_1991_PHYSIOL REV,2.5
11,3,36.666666666666664,4.828818388140422e-05,0.008403361344537813,0.013182674199623351,2.5623818808468023e-23,110.0,Hughes C_2002_AM J MED GENET; Claes E_2003_AM J MED GENET A; Julian-Reynier C_2000_AM J MED GENET,2.5
12,2,30.0,0.0,0.008403361344537815,0.00847457627118644,1.2338839444441297e-25,60.0,Greenland S_2003_J AM STAT ASSOC; Greenland S_2005_J R STAT SOC A STAT,1.7
13,2,30.0,0.0,0.008403361344537815,0.00847457627118644,1.2338839444441297e-25,60.0,Cina SJ_2001_ARCH PATHOL LAB MED; Epstein JI_1998_AM J SURG PATHOL,1.7
14,2,26.0,0.0,0.008403361344537815,0.00847457627118644,6.781375453933646e-27,52.0,Braakhuis BJM_2003_CANCER RES; SLAUGHTER DP_1953_CANCER,1.7
15,2,25.0,0.0,0.008403361344537815,0.00847457627118644,3.0698633924908275e-27,50.0,Kim YL_2003_IEEE J SEL TOP QUANT; Roy HK_2004_GASTROENTEROLOGY,1.7
